,user_id,gender,state,age,date_joined,no_of_dependents,marital_status,income,product_id,product_name,aisle_id,department_id,prices,order_id,order_number,orders_day_of_week,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered,_merge,price_range_loc,busiest_day,busiest_days,busiest_periods,max_order,loyalty_flag,mean_price,spending_flag,median_prior_days,order_frequency,total_orders,activity_flag
101187,107357,Female,Alaska,45,1/4/2017,0,single,48155,13914,Cheez-It Baked Snack Crackers,78,19,2.2,598345,1,5,10,,2,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,3.225,Low Spender,20.0,Regular customer,4,Low Activity
101188,107357,Female,Alaska,45,1/4/2017,0,single,48155,44172,Movie Theater Butter Microwave Popcorn,23,19,2.7,701116,2,1,10,10.0,1,0,both,Low-range product,Regularly busy,Busiest days,Most orders,3,New customer,3.225,Low Spender,20.0,Regular customer,4,Low Activity
101189,107357,Female,Alaska,45,1/4/2017,0,single,48155,44172,Movie Theater Butter Microwave Popcorn,23,19,2.7,3312000,3,4,14,30.0,1,1,both,Low-range product,Least busy,Least busy days,Most orders,3,New customer,3.225,Low Spender,20.0,Regular customer,4,Low Activity
101190,107357,Female,Alaska,45,1/4/2017,0,single,48155,46061,Popcorn,23,19,5.3,598345,1,5,10,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,3.225,Low Spender,20.0,Regular customer,4,Low Activity
101279,99671,Male,Kansas,50,1/4/2017,1,married,57183,4149,Frozen Organic Blueberries,24,4,4.7,1507499,1,3,9,,1,0,both,Low-range product,Regularly busy,Least busy days,Most orders,4,New customer,3.725,Low Spender,30.0,Non-frequent customer,4,Low Activity
101280,99671,Male,Kansas,50,1/4/2017,1,married,57183,31651,Extra Fancy Unsalted Mixed Nuts,117,19,3.4,2107030,2,1,12,30.0,1,0,both,Low-range product,Regularly busy,Busiest days,Most orders,4,New customer,3.725,Low Spender,30.0,Non-frequent customer,4,Low Activity
101281,99671,Male,Kansas,50,1/4/2017,1,married,57183,31651,Extra Fancy Unsalted Mixed Nuts,117,19,3.4,840396,3,2,15,30.0,1,1,both,Low-range product,Regularly busy,Regularly busy,Most orders,4,New customer,3.725,Low Spender,30.0,Non-frequent customer,4,Low Activity
101282,99671,Male,Kansas,50,1/4/2017,1,married,57183,31651,Extra Fancy Unsalted Mixed Nuts,117,19,3.4,2380091,4,1,11,30.0,1,1,both,Low-range product,Regularly busy,Busiest days,Most orders,4,New customer,3.725,Low Spender,30.0,Non-frequent customer,4,Low Activity
101283,65323,Male,Tennessee,38,1/4/2017,3,married,67464,10173,Organic Creamy Tomato Basil Soup,69,15,10.6,878147,1,6,10,,1,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,7.025,Low Spender,30.0,Non-frequent customer,4,Low Activity
101284,65323,Male,Tennessee,38,1/4/2017,3,married,67464,16277,Broccoli,83,4,11.2,878147,1,6,10,,2,0,both,Mid-range product,Regularly busy,Regularly busy,Most orders,3,New customer,7.025,Low Spender,30.0,Non-frequent customer,4,Low Activity
101285,65323,Male,Tennessee,38,1/4/2017,3,married,67464,17157,Organic Chicken Breasts,34,1,1.4,1033627,3,1,17,30.0,1,0,both,Low-range product,Regularly busy,Busiest days,Average orders,3,New customer,7.025,Low Spender,30.0,Non-frequent customer,4,Low Activity
101286,65323,Male,Tennessee,38,1/4/2017,3,married,67464,39461,Coffee Mate French Vanilla Creamer Packets,6,2,4.9,3413910,2,2,7,30.0,1,0,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,7.025,Low Spender,30.0,Non-frequent customer,4,Low Activity
131740,127836,Male,Ohio,76,1/5/2017,3,married,40112,22802,Mineral Water,115,7,2.5,2789262,3,0,17,30.0,1,0,both,Low-range product,Busiest day,Busiest days,Average orders,3,New customer,2.433333333333333,Low Spender,30.0,Non-frequent customer,3,Low Activity
131741,127836,Male,Ohio,76,1/5/2017,3,married,40112,35470,Water Mineral,115,7,2.4,1015447,1,6,13,,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,2.433333333333333,Low Spender,30.0,Non-frequent customer,3,Low Activity
131742,127836,Male,Ohio,76,1/5/2017,3,married,40112,35470,Water Mineral,115,7,2.4,3287130,2,6,17,30.0,1,1,both,Low-range product,Regularly busy,Regularly busy,Average orders,3,New customer,2.433333333333333,Low Spender,30.0,Non-frequent customer,3,Low Activity
155780,169521,Female,Washington,53,1/6/2017,2,married,58804,30406,Butternut Squash,83,4,6.9,1983406,3,0,15,30.0,1,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,4.65,Low Spender,30.0,Non-frequent customer,4,Low Activity
155781,169521,Female,Washington,53,1/6/2017,2,married,58804,39555,Organic Ground Beef Patties,34,1,8.1,1983406,3,0,15,30.0,2,0,both,Mid-range product,Busiest day,Busiest days,Most orders,3,New customer,4.65,Low Spender,30.0,Non-frequent customer,4,Low Activity
155782,169521,Female,Washington,53,1/6/2017,2,married,58804,46802,Pineapple Chunks,116,1,1.8,742574,1,4,6,,1,0,both,Low-range product,Least busy,Least busy days,Fewest orders,3,New customer,4.65,Low Spender,30.0,Non-frequent customer,4,Low Activity
155783,169521,Female,Washington,53,1/6/2017,2,married,58804,46802,Pineapple Chunks,116,1,1.8,1999367,2,0,14,30.0,1,1,both,Low-range product,Busiest day,Busiest days,Most orders,3,New customer,4.65,Low Spender,30.0,Non-frequent customer,4,Low Activity
155904,23999,Female,North Dakota,71,1/6/2017,3,married,163022,13535,Organic Medium Salsa,51,13,1.0,2283317,3,6,16,2.0,2,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,11.925,High Spender,2.0,Frequent customer,4,Low Activity
155905,23999,Female,North Dakota,71,1/6/2017,3,married,163022,38775,Blueberry Muffins,93,3,12.5,2229896,2,4,0,23.0,1,0,both,Mid-range product,Least busy,Least busy days,Fewest orders,3,New customer,11.925,High Spender,2.0,Frequent customer,4,Low Activity
155906,23999,Female,North Dakota,71,1/6/2017,3,married,163022,48520,All Natural Regular Pork Sausage,106,12,17.1,415330,1,2,15,,1,0,both,High-range product,Regularly busy,Regularly busy,Most orders,3,New customer,11.925,High Spender,2.0,Frequent customer,4,Low Activity
155907,23999,Female,North Dakota,71,1/6/2017,3,married,163022,48520,All Natural Regular Pork Sausage,106,12,17.1,2283317,3,6,16,2.0,1,1,both,High-range product,Regularly busy,Regularly busy,Most orders,3,New customer,11.925,High Spender,2.0,Frequent customer,4,Low Activity
237799,93363,Male,Maryland,45,1/9/2017,1,married,31936,13516,Laundry Stain Remover Spray,75,17,2.9,1531138,3,5,10,20.0,1,0,both,Low-range product,Regularly busy,Regularly busy,Most orders,3,New customer,6.733333333333334,Low Spender,16.5,Regular customer,3,Low Activity
237800,93363,Male,Maryland,45,1/9/2017,1,married,31936,27271,Baby Bee Shampoo and Wash,102,18,6.7,1516004,1,0,18,,1,0,both,Mid-range product,Busiest day,Busiest days,Average orders,3,New customer,6.733333333333334,Low Spender,16.5,Regular customer,3,Low Activity
